"Reference","Value","Footprint","Datasheet","Qty","DNP"
"C1","10u 35V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","1",""
"C2","10u 16V","Capacitor_SMD:C_1206_3216Metric","~","1",""
"C3,C4","22p","Capacitor_SMD:C_0805_2012Metric","~","2",""
"C5,C6,C7,C8","100n","Capacitor_SMD:C_0805_2012Metric","~","4",""
"F1","RXEF010","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~","1",""
"H1,H2,H3","MountingHole","MountingHole:MountingHole_3.2mm_M3","~","3",""
"J1","JST B5B-XH-A","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","~","1",""
"J6","2x08 Edge Connector","Dennis:Card Edge 16 power","~","1",""
"R1,R2,R4","10k","Resistor_SMD:R_0805_2012Metric","~","3",""
"R3","1k","Resistor_SMD:R_0805_2012Metric","~","1",""
"U1","ULN2003","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/uln2003a.pdf","1",""
"U2","A1101","Dennis:UA A1101","https://www.allegromicro.com/-/media/files/datasheets/a110x-datasheet.ashx","1",""
"U3","SN75176AP","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/sn75176a.pdf","1",""
"U4","ATmega8A-A","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Microchip%208bit%20mcu%20AVR%20ATmega8A%20data%20sheet%2040001974A.pdf","1",""
"Y1","16,0000-HC49U-S","Crystal:Crystal_HC49-U_Vertical","~","1",""
