Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u 35V","CP_Radial_D6.3mm_P2.50mm",139.954000,-65.024000,-90.000000,top
"C2","10u 15V","CP_Radial_D5.0mm_P2.50mm",142.748000,-99.060000,90.000000,top
"C3","22p","C_0805_2012Metric",130.048000,-116.332000,180.000000,top
"C4","22p","C_0805_2012Metric",130.048000,-114.046000,180.000000,top
"C5","100n","C_0805_2012Metric",132.842000,-106.680000,-90.000000,top
"C6","100n","C_0805_2012Metric",118.430000,-107.188000,0.000000,top
"F1","Polyfuse 10ma/20mA","C_Disc_D7.5mm_W2.5mm_P5.00mm",143.510000,-91.868000,90.000000,top
"J1","JST05_StepperMotor","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",140.208000,-48.768000,-90.000000,top
"J6","Conn_02x08_Top_Bottom","Card Edge 16 power",150.175000,-119.380000,90.000000,top
"R1","10k","R_0805_2012Metric",132.484500,-121.666000,180.000000,top
"R2","10k","R_0805_2012Metric",139.549500,-88.744000,0.000000,top
"R3","4k7","R_0805_2012Metric",139.549500,-91.694000,0.000000,top
"U1","ULN2003","SOIC-16W_5.3x10.2mm_P1.27mm",130.048000,-61.214000,90.000000,top
"U2","A1101ELHL","SOT-23W",95.000000,-71.810000,0.000000,top
"U3","SN75176AP","DIP-8_W7.62mm",135.646000,-116.596000,0.000000,top
"U4","ATmega8A-A","TQFP-32_7x7mm_P0.8mm",125.838000,-105.986000,0.000000,top
"Y1","16MHz","Crystal_HC49-U_Vertical",119.724000,-114.300000,0.000000,top
